provnum	stabbrev	deaths_per_bed	nh_covid_deaths	bedcert	tract_density	tract_housing_density	tract_pt_share_u50k	tract_pt_share	tract_pt_share_hc	tract_pov_share	tract_med_income	tract_white_share	tract_black_share	tract_white_nh_share	tract_share_frontline	tract_data	tract_share_nonwhite	tract_pred_nh_pt_share
"555151"	"CA"	0	0	76	1652.62	2.648597	.0104286	.008533	.170597	.1846788	26213.4	.80077	.0186371	.5981898	.2602213	1	.19923	.0035488
"055208"	"CA"	0	0	99	1526.25	2.463038	.0186755	.0150008	.0991042	.2019219	23936.47	.797592	.0103704	.7276222	.2733842	1	.202408	.0004828
"056300"	"CA"	0	0	87	2030.235	2.468744	.0235724	.0184188	.0974006	.2038995	24232.46	.7979748	.0109083	.7369763	.2715547	1	.2020252	.0003564
"055003"	"CA"	0	0	99	1794.581	2.479028	.0271185	.0208405	.1033638	.2083624	25115.31	.8004584	.0135826	.743724	.2664292	1	.1995416	.0017828
"056361"	"CA"	0	0	104	1572.447	2.510019	.0168809	.0163956	.0965175	.1957872	23313.19	.8225968	.0096678	.7444348	.2769188	1	.1774032	.0015239
"555158"	"CA"	4.471545	5.5	123	4596.355	3.782567	.0145399	.0121336	.0846202	.267492	23716.89	.6428083	.0185507	.1453001	.2848709	1	.3571917	.007684
"555557"	"CA"	5.555556	5.5	99	4284.805	3.843887	.0152245	.0125055	.0784444	.3204888	21421.6	.689627	.030376	.1408299	.2917683	1	.310373	.0060086
"05A125"	"CA"	0	0	31														
"555527"	"CA"	0	0	33	1963.304	2.367233	.0089425	.0076042	.0657702	.2110504	27838.3	.7972005	.0310382	.5998249	.2567374	1	.2027995	.0009857
"555777"	"CA"	0	0	99	1568.521	2.403313	.0155515	.0173755	.1111593	.1028258	30732.19	.7673586	.0129212	.5664612	.2896399	1	.2326414	.0014495
"555877"	"CA"	0	0	124	2717.402	2.682507	.0072693	.0060476	.1140155	.1874735	32574.17	.7443435	.0542242	.6079464	.235311	1	.2556565	.0047285
"555256"	"CA"	0	0	160	5065.97	3.341225	.0177601	.0138038	.0971308	.2779257	26746.11	.7093513	.0565748	.3092191	.2799385	1	.2906487	.0239859
"555116"	"CA"	0	0	79	5054.967	3.282441	.0173142	.0135843	.0924261	.2378125	29709.78	.7005602	.0613631	.3373138	.281074	1	.2994398	.0152656
"555702"	"CA"	7.333333	11	150	5384.388	3.295226	.0201242	.0153842	.0919147	.2656128	28488.44	.6956059	.0568403	.3306777	.2774273	1	.3043941	.0231694
"555902"	"CA"	0	0	99	5208.92	3.279079	.0227135	.0168122	.1014473	.3158143	25977.54	.704221	.0593334	.30467	.271922	1	.295779	.0307946
"555479"	"CA"	0	0	141	4359.107	3.652307	.0064195	.0051087	.1054869	.2977397	22407.84	.7297743	.0254117	.1834145	.2519468	1	.2702257	.0048816
"555260"	"CA"	5.555556	5.5	99	4969.533	3.241551	.0185405	.0147153	.1018237	.3139935	25633.46	.7163399	.0686639	.3185686	.2751321	1	.2836601	.0313735
"555771"	"CA"	0	0	120	4788.549	3.169839	.0189358	.0138016	.098674	.2095498	32059.86	.7179447	.052418	.3993488	.2711772	1	.2820553	.0161208
"056426"	"CA"	0	0	51	4359.107	3.652307	.0064195	.0051087	.1054869	.2977397	22407.84	.7297743	.0254117	.1834145	.2519468	1	.2702257	.0048816
"555170"	"CA"	0	0	81	3887.938	3.750335	.0164406	.0131643	.1226545	.3271389	23330.26	.7844943	.0365954	.2047272	.2577783	1	.2155057	.0167844
"555229"	"CA"	6.321839	5.5	87	5469.891	3.342003	.0229432	.0176962	.0891036	.3100736	24648.92	.6818531	.0791017	.2641651	.2924532	1	.3181469	.0332591
"056035"	"CA"	0	0	99	4312.395	3.37076	.0076038	.0050152	.0860355	.2615632	26899.5	.7695791	.0325486	.3129189	.2582266	1	.2304209	.0044007
"555336"	"CA"	10.32609	19	184	5635.029	3.233171	.0207256	.0154912	.1065483	.2280102	28146.15	.7038917	.0667395	.3448268	.2878476	1	.2961083	.0203745
"555517"	"CA"	0	0	74	1116.181	2.397781	.020196	.0076692	.1059855	.3850882	22853.29	.8893051	.0148565	.7829507	.250744	1	.1106949	.0010836
"555053"	"CA"	0	0	53	4359.107	3.652307	.0064195	.0051087	.1054869	.2977397	22407.84	.7297743	.0254117	.1834145	.2519468	1	.2702257	.0048816
"056294"	"CA"	0	0	99	4703.966	3.210321	.0179678	.0137738	.088398	.2105986	31643.08	.7030208	.0571369	.3761888	.2745959	1	.2969792	.0205501
"555912"	"CA"	0	0	140														
"055601"	"CA"	0	0	99	5464.565	3.42286	.018466	.0155645	.0885776	.2733904	26759.29	.6675268	.0672628	.2742052	.2850122	1	.3324732	.0192105
